[2026-04-22 10:17:00] [INFO] === STEP 4: Add YAML Frontmatter ===
[2026-04-22 10:17:00] [INFO] Processing 1016 MD files...
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/minilanguageschapter.md (1105 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/methodology-consultant.md (284 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/context.md (490 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch16s05.md (823 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch09s02.md (2063 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch05s01.md (2403 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch18s06.md (703 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch02s03.md (983 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch15s01.md (548 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch10s05.md (2379 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch12s02.md (983 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch05s04.md (2031 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch16s07.md (2269 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch01s04.md (631 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch11s04.md (2116 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch19s04.md (310 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch11s01.md (735 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/opensourcechapter.md (370 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch06s02.md (2738 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch07s01.md (513 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/optimizationchapter.md (185 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/reusechapter.md (603 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch11s02.md (855 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch20s01.md (1444 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/why_not_c.md (1007 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/script-kiddie.md (359 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch16s04.md (930 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch10s01.md (914 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch11s06.md (5977 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/historychapter.md (239 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/pr01s06.md (831 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch08s03.md (3107 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch10s06.md (1652 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch17s04.md (1441 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch15s08.md (1291 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/gui-programmer.md (283 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch10s04.md (1570 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/end-user.md (348 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch17s05.md (2157 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/pr01s05.md (415 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch07s02.md (7403 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch04s03.md (2454 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch18s02.md (976 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch07s03.md (2376 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/documentationchapter.md (428 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch16s06.md (291 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/hackers.md (3028 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/unix/ch13s01.md (3034 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/pdm/torres-continuous-discovery-habits-2021.md (62753 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/pdm/doerr-measure-what-matters-2018.md (63734 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/pdm/ries-lean-startup-2011.md (83591 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/pdm/cagan-inspired-2ed-2017.md (0 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/pdm/cagan-transformed-2024.md (86808 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch13-g.md (1367 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch5-d.md (2976 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch5-b.md (2835 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch15-f.md (2709 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch2-c.md (2089 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch6-a.md (2486 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch18-c.md (2685 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch14-b.md (2308 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch18-b.md (2811 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch3-d.md (1964 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch17-g.md (1890 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch3-b.md (3045 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch15-c.md (2925 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch23-d.md (2599 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch17-d.md (2730 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch13-i.md (1733 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch8-f.md (2085 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch16-a.md (2900 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch22-d.md (3266 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch24-a.md (2323 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch6-b.md (2931 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch19-f.md (1990 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch14-d.md (2242 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch15-b.md (2669 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/chbibmz.md (6551 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch17-e.md (1711 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch20-c.md (2160 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch23-c.md (2951 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch21-b.md (3016 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch7-b.md (2486 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch17-f.md (2418 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch9-b.md (2246 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch12-d.md (4618 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/translationsphp.md (220 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch17-b.md (1950 words)
[2026-04-22 10:17:00] [INFO] ✅ raw/books-md/cybernetics/ch22-b.md (1954 words)
